FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,,Bosnia and Herzegovina,2020-03-07T02:13:09,43.9159,17.6791,3,0,0,,
,,Quebec,Canada,2020-03-09T08:43:03,52.9399,-73.5491,3,0,0,,
,,,Luxembourg,2020-03-08T05:13:06,49.8144,6.1317,3,0,0,,
,,,Malta,2020-03-08T09:13:16,35.9375,14.3754,3,0,0,,
,,,North Macedonia,2020-03-06T20:23:11,41.6086,21.7453,3,0,0,,
,,,Slovakia,2020-03-08T09:13:15,48.669,19.699,3,0,0,,
,,,South Africa,2020-03-08T10:23:04,-30.5595,22.9375,3,0,0,,
,,"Broward County, FL",US,2020-03-09T08:53:03,26.1901,-80.3659,3,0,0,,
,,"Cobb County, GA",US,2020-03-09T03:53:03,33.8999,-84.5641,3,0,0,,
,,"Douglas County, CO",US,2020-03-07T01:53:03,39.2587,-104.9389,3,0,0,,
,,"Douglas County, NE",US,2020-03-09T00:53:03,41.3148,-96.1951,3,0,0,,
,,"Johnson County, IA",US,2020-03-09T08:43:03,41.6699,-91.5984,3,0,0,,
,,"Maricopa County, AZ",US,2020-03-07T19:53:02,33.2918,-112.4291,3,0,1,,
,,"Providence County, RI",US,2020-03-07T02:23:08,41.8882,-71.4774,3,0,0,,
,,"San Diego County, CA",US,2020-03-05T20:33:03,32.7157,-117.1611,3,0,1,,
,,"Sonoma County, CA",US,2020-03-09T12:03:07,38.578,-122.9888,3,0,0,,
,,,Albania,2020-03-09T09:03:03,41.1533,20.1683,2,0,0,,
,,Tasmania,Australia,2020-03-08T05:43:04,-41.4545,145.9707,2,0,0,,
,,,Cambodia,2020-03-08T04:53:03,11.55,104.9167,2,0,1,,
,,,Cameroon,2020-03-08T05:23:03,3.848,11.5021,2,0,0,,
,,,Cyprus,2020-03-09T18:33:03,35.1264,33.4299,2,0,0,,
,,,Faroe Islands,2020-03-08T05:13:07,61.8926,-6.9118,2,0,0,,
,,,Martinique,2020-03-07T03:23:05,14.6415,-61.0242,2,0,0,,
,,,Morocco,2020-03-05T13:53:03,31.7917,-7.0926,2,0,0,,
,,,Nigeria,2020-03-09T09:43:03,9.082,8.6753,2,0,0,,
,,,St. Martin,2020-03-09T10:43:06,18.0708,-63.0501,2,0,0,,
,,,Tunisia,2020-03-08T21:13:10,33.8869,9.5375,2,0,0,,
,,"Alameda County, CA",US,2020-03-07T13:13:14,37.6017,-121.7195,2,0,0,,
,,"Clark County, NV",US,2020-03-08T21:43:03,36.0796,-115.094,2,0,0,,
,,"Denver County, CO",US,2020-03-06T23:33:02,39.7392,-104.9903,2,0,0,,
,,"Fairfax County, VA",US,2020-03-08T21:33:02,38.9085,-77.2405,2,0,0,,
,,"Harrison County, KY",US,2020-03-09T08:43:03,38.4333,-84.3542,2,0,0,,
,,"Hendricks County, IN",US,2020-03-09T08:23:03,39.8065,-86.5401,2,0,0,,
